x,y,df_original,lacunarity
327.97,7.33,1.0,1132.2868
584.82,22.66,1.2114,117.9516
950.98,37.08,1.2101,210.3738
480.37,31.8,1.0664,173.9234
909.33,48.76,1.1381,147.5918
9.54,63.99,1.1473,567.1887
551.38,78.52,1.1132,111.6932
174.37,67.45,1.0,1459.3576
215.92,86.64,1.0,2158.506
648.97,162.23,1.0286,658.8055
785.69,177.48,1.0,122.9208
756.21,193.31,1.116,132.5852
4.82,206.59,1.0,1756.1207
746.26,237.88,1.0,104.8033
60.05,229.95,1.0,1547.7199
400.42,238.37,1.0,87.5639
120.78,299.08,1.0,732.6374
233.67,279.73,1.0801,784.9193
332.94,293.18,1.0589,942.7977
626.48,278.07,1.0,1683.0536
308.02,297.98,1.0,3650.8443
743.32,349.45,1.1868,229.6556
382.66,363.34,1.0,284.8292
676.11,380.84,1.057,316.7676
67.94,387.61,1.0,1052.5815
757.09,415.9,1.0,372.5377
568.5,399.69,1.0789,106.7859
345.22,424.06,1.049,103.2431
4.69,437.56,1.0,2940.6291
825.78,446.67,1.2781,147.6892
271.16,458.98,1.0604,881.3671
543.32,439.19,1.0,1115.7163
301.43,446.87,1.1498,106.5807
778.47,454.63,1.2094,105.76
683.04,445.33,1.2017,99.0915
8.4,490.37,1.0,1525.775
572.99,493.21,1.1261,425.7729
337.67,487.93,1.0999,93.3288
112.37,509.92,1.0,344.5301
635.86,494.61,1.0698,114.097
819.71,521.78,1.0,503.9712
662.42,529.27,1.0,184.1102
584.55,541.46,1.1577,519.4969
383.88,539.51,1.0,1686.843
96.66,558.09,1.0304,1355.0108
320.54,582.08,1.1918,373.6821
420.04,588.52,1.0009,1319.4548
362.43,605.62,1.0,126.6762
726.62,624.88,1.0,84.9299
879.95,629.57,1.1145,627.4729
357.93,672.17,1.0,332.8969
931.39,639.42,1.0,167.1977
620.71,678.5,1.0,669.0353
880.11,783.55,1.021,168.7745
70.79,708.28,1.1815,180.0516
761.29,749.11,1.0752,93.2771
868.76,712.29,1.1131,155.6416
651.81,716.43,1.2367,141.1763
833.96,734.32,1.0,1672.9173
467.61,770.45,1.0,135.1432
756.43,793.43,1.0,406.7742
593.46,812.35,1.043,463.2499
650.79,784.23,1.102,91.6582
538.5,837.15,1.1056,541.9125
650.8,876.41,1.0,106.5643
728.9,859.1,1.0881,94.0464
781.87,892.74,1.0,1132.1596
538.34,895.62,1.0,226.3889
493.32,885.6,1.0,222.9937
599.38,939.82,1.0,230.7683
96.1,943.48,1.0,711.4462
