x,y,df_original,lacunarity
78.36,18.23,1.0,74.0873
254.19,32.03,1.0667,414.2497
792.55,11.48,1.0,1705.1849
0.0,26.26,1.0402,845.425
103.19,26.82,1.0309,68.3293
142.87,29.27,1.0563,695.6827
3.49,67.55,1.1614,84.264
793.06,95.95,1.0,79.9142
38.65,114.51,1.053,63.379
336.4,97.47,1.2208,144.5558
266.27,110.49,1.0,1235.7778
114.42,120.98,1.0,802.5508
779.78,179.62,1.0,292.8663
493.19,211.42,1.0,292.836
35.66,189.25,1.167,58.9177
185.84,176.72,1.0331,233.1194
174.7,193.71,1.1143,316.8923
207.2,248.43,1.0,163.555
90.3,207.17,1.0677,342.3998
315.85,251.66,1.0,1055.4467
146.19,249.18,1.0,371.2697
681.84,244.54,1.106,219.9137
202.2,322.62,1.2208,147.8456
459.46,289.35,1.0,159.5215
269.8,301.13,1.0495,129.0967
253.6,324.47,1.0,766.4699
152.48,354.76,1.0862,569.3712
370.56,354.94,1.0553,120.3194
751.63,391.53,1.0,73.1489
388.17,406.24,1.1309,49.0689
10.04,432.62,1.0,934.9483
704.67,433.89,1.2032,82.3105
493.79,467.93,1.0,104.0415
631.16,463.5,1.0,949.4775
584.55,461.99,1.0952,118.354
349.93,482.59,1.1637,134.2518
733.16,491.03,1.0675,706.8474
668.79,508.9,1.0,685.9826
325.54,511.76,1.0653,376.8464
522.91,519.33,1.1346,202.2216
199.19,531.0,1.2142,50.1858
488.64,522.63,1.0464,236.1174
33.82,539.41,1.0208,607.6745
157.7,551.29,1.0396,53.2239
295.98,563.0,1.1159,634.1866
333.38,576.23,1.1599,351.9971
185.71,608.08,1.1413,174.8878
488.88,584.91,1.2585,73.8807
582.71,578.64,1.3695,69.9173
87.65,626.25,1.0008,328.6185
741.36,630.66,1.0,410.3014
20.77,635.63,1.0,373.5011
300.95,640.7,1.0148,201.4905
322.31,628.2,1.1497,81.4864
356.77,649.94,1.0182,97.5163
266.75,646.33,1.0,147.9573
458.14,653.64,1.0,1601.9124
